OBJECTID,name,alternate_name,category,subcategory,address1,address2,address3,address4,address5,lat,lon,POINT_Z
634,"Limekiln Lane Health Centre, Walkinstown Health Centre",Limekiln Lane,Health Centre,,Parnell Road,Dublin 12,D12 X267,,,-6.29017350519817,53.3311643168752,
635,Links Business Centre,,Health Centre,NULL,Ludden,Buncrana,Co. Donegal,F93 VYX4,,-7.46430454342508,55.1121928240146,
636,Lisacul,Lisacul,Health Centre,,HSE,Lissdaly Health Centre,Lissydaly,Ballaghadereen,Co. Roscommon,-8.64122857322776,53.8597582479005,
637,Lisburn Street,Lisburn Street,Health Centre,,Dublin 7,D07 E891,,,,-6.27307498645327,53.3507673485051,
638,Liscarroll,Liscarroll,Health Centre,,Main Street,Co. Cork,,,,-8.8053049795232,52.2597989677329,
639,Lisdoonvarna Health Centre,Lisdoonvarna,Health Centre,,Main Street,Lisdoonvarna,Co. Clare,V95 Y623,,-9.29133222519642,53.0277447886249,
640,Lisdowney,Lisdowney,Health Centre,,Lisdowney,Co. Kilkenny.,,,,-7.39115244452515,52.7902064081599,
641,Lismore Health Centre,Lismore,Health Centre,,1 Ashley Court,Parks Road,Lismore,Co. Waterford,P51 FA38,-7.92771908325444,52.1372523443554,
642,Listowel,Listowel,Health Centre,,Grounds of Listowel Hospital,Co. Kerry,,,,-9.49762256066558,52.4482437424755,
643,Listowel OPD,Listowel OPD,Health Centre,,Hospital Grounds,Listowel,Co. Kerry,,,-9.49762256066558,52.4482437424755,
644,Littleton,Littleton,Health Centre,,Littleton,Thurles,Co. Tipperary.,,,-7.73892490489234,52.6358420295686,
645,Lixnaw,Lixnaw,Health Centre,,C/o Dr. Fahys Surgery,Lixnaw,Co. Kerry,,,-9.61746397572176,52.40894972715,
646,Lotamore,Lotamore,Health Centre,,20 Lotamore Park,Mayfield,Cork.,,,-8.41903824318096,51.9148776393774,
647,"Lough Sheever Corporate Park, Unit 7D",,Health Centre,NULL,7d Lough Sheever Corporate Park,Robinstown,Mullingar,Co. Westmeath,N91 CX4P,-7.34500484392626,53.5406359379611,
648,"Lough Sheever Corporate Park, Unit 7E",,Health Centre,NULL,7e Lough Sheever Corporate Park,Robinstown,Mullingar,Co. Westmeath,N91 AW73,-7.34500484392626,53.5406359379611,
649,Loughboy,Loughboy,Health Centre,,Springhill Health Centre,Waterford Road,Kilkenny,,,-7.24168837869596,52.6416121444272,
650,Loughglynn,Loughglynn,Health Centre,,Loughglynn,Co. Roscommon.,,,,-8.56925854764726,53.8284613969975,
651,Loughlinstown,Loughlinstown,Health Centre,,Loughlinstown Drive,Loughlinstown,Glenageary,Co. Dublin,A96 P3Y6,-6.12860073144731,53.2473537739026,
652,Loughrea Health Centre - Store & Playschool,,Health Centre,NULL,Lackagh More,Turloughmore,Co. Galway,H65 HD26,,-8.90536354806882,53.3665626173455,
653,Loughrea Primary Care Centre,Loughrea,Health Centre,,Saint Brendan's Campus,Lake Road,Loughrea,Co. Galway,H62 F438,-8.56595995548354,53.1904497889414,
654,Louisburgh Health Centre (Convent),Louisburgh,Health Centre,,Louisburgh Health Centre,Westport Road,Louisburgh,Co. Mayo,F28 XR50,-9.80537632558014,53.7648584307441,
655,Louth County Hospital Campus,,Health Centre,NULL,Saint Oliver Plunkett Hospital,Dublin Road,Dundalk,Co. Louth,A91 E671,-6.40288529906811,53.9890729236991,
656,Lucan Health Centre,Lucan,Health Centre,,Sarsfield Park,Lucan,Co. Dublin,,K78 D2E0,-6.44821500426207,53.3568150459532,
657,Luggacurren,Luggacurren,Health Centre,,Luggacurren,Co. Laois.,,,,-7.12810952282892,52.9470059193097,
658,Lusk Health Centre,Lusk,Health Centre,,Main Street,Lusk,Co. Dublin,,K45 VN80,-6.16589648954336,53.5266397639986,
659,Lynton House,Lynton House,Health Centre,,Main Street,Cavan,,,,-7.36211271143832,53.9926168333623,
660,Lyradoon - Child & Family Guidance Centre,,Health Centre,NULL,Lyradoon,65 Salthill Road Lower,Galway,,H91 T4C1,-9.07200579344568,53.2651360593985,
661,Macroom Community Hospital - Macroom Health Centre,,Health Centre,NULL,Macroom Community Hospital,Macroom,Co. Cork,,P12 AX83,-8.96765002144909,51.9073733850283,
662,Macroom Primary Care Centre,Macroom,Health Centre,,Unit 6,Fair Green Plaza,Macroom,Co. Cork,P12 E363,-8.9544005285751,51.905573451216,
663,"Magheranure, 1 - PCC",,Health Centre,NULL,Cootehill Community Services Centre,1 Drumlin Drive,Cootehill,Co. Cavan,H16 K094,-7.08559679063553,54.0726550697954,
664,Mahon Health Centre,,Health Centre,NULL,Lakeland Crescent,Mahon,Cork,,T12 H668,-8.40137986111333,51.8922766471162,
665,Malahide Health Centre,Malahide,Health Centre,,New Street,Malahide,Co. Dublin,,K36 EK59,-6.1539149255738,53.4510090400987,
666,Malin Health Centre,Malin,Health Centre,,Malin,Co. Donegal,F93 K009,,,-7.26232121561996,55.2964155756135,
667,Mallow,9 West End,Health Centre,,9 West End,Mallow,Co. Cork.,,,-8.64877811279187,52.137867093613,
668,Mallow,31 Fair Street,Health Centre,,31/32 Fair Street Upper,Mallow,Co. Cork.,,,-8.64360714231853,52.1383791770302,
