record_id,constituency,local_authority,register_reference,address_or_description,description,eircode,latitude,longitude,site_count,location_category,location_source,location_precision,source_x,source_y,source_coordinate_system,source_geometry_type,date_entered,valuation,source_url,source_date,retrieved_date,source_format,acquisition_method,extraction_quality
IE-DS-9f4ce5897669e4,Limerick County,Limerick City and County Council,DS-076-20,"29 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5172734,-8.9299163,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536886,641062,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-83245fcc9130b2,Limerick County,Limerick City and County Council,DS-077-20,"30 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5171394,-8.9298103,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536893,641047,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-b175328d3cb48e,Limerick County,Limerick City and County Council,DS-078-20,"31 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing site, Never Occupied",,52.5169695,-8.9297036,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536900,641028,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-7ab5c0b37bbf85,Limerick County,Limerick City and County Council,DS-079-20,"32 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5168443,-8.9296125,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536906,641014,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-ecf34dfb9e1be1,Limerick County,Limerick City and County Council,DS-080-20,"33 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5167014,-8.9295064,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536913,640998,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-4cb73086356386,Limerick County,Limerick City and County Council,DS-124-18,"11 Saint Mary's Terrace, Cappamore, Co. Limerick V94 XN4A",two-storey End of Terrace property,V94 XN4A,52.6121785,-8.3343376,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,577357,651267,EPSG:2157,,2020-07-29,40000,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-84b646a3ae67d8,Limerick County,Limerick City and County Council,DS-081-20,"Cois Na Feile, Clash, Abbeyfeale, Co. Limerick",Unfinished Development,,52.3826811,-9.2837934,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,512603,626457,EPSG:2157,,2020-08-20,215000,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-dc0a0705494227,Limerick County,Limerick City and County Council,DS-114-18,"Brewery Lane, Askeaton, Co. Limerick","two-storey, former commercial unit",,52.5994744,-8.9766059,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,533841,650249,EPSG:2157,,2020-09-03,10000,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-68ac812446f35a,Limerick County,Limerick City and County Council,DS-068-19,"Lower Main Street, Rathkeale, Co. Limerick.",Mid Terrace Two Storey Property,,52.5218851,-8.9412129,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536126,641585,EPSG:2157,,2020-09-04,60000,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-23e6131088c8d1,Limerick County,Limerick City and County Council,DS-052-19,"Station Road, Bruree, Co. Limerick",Semi-detached residential property,,52.4238642,-8.6549745,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,555452,630465,EPSG:2157,,2020-09-08,33000,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-45351dd1c7e5a3,Limerick County,Limerick City and County Council,DS-043-20,"Garranroe, Patrickswell, Co. Limerick",Fire damaged Residential Bungalow,,52.5560324,-8.7268417,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,550712,645216,EPSG:2157,,2020-09-08,55000,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-95439895dc9347,Limerick County,Limerick City and County Council,DS-095-20,"Main Street, Ardagh, Co. Limerick",Single storey end of terrace property,,52.4950791,-9.0594865,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,528056,638714,EPSG:2157,,2020-09-08,20000,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-590be17eb355a4,Limerick County,Limerick City and County Council,DS-096-20,"Main Street, Ardagh, Co. Limerick",Detached single Storey Property,,52.495051,-9.0596184,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,528047,638711,EPSG:2157,,2020-09-08,25000,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-626b240fbed84a,Limerick County,Limerick City and County Council,DS-098-20,"Main Street, Ardagh, Co. Limerick",End of Terrace Two Storey Property,,52.4946754,-9.061406,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,527925,638671,EPSG:2157,,2020-09-08,130000,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-0a942140638b1c,Limerick County,Limerick City and County Council,DS-017-16,"Ballyanrahan East, Patrickswell, Co. Limerick",Unfinished Development,V94 T6XF,52.5971027,-8.7115796,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,551792,649775,EPSG:2157,,2020-09-25,550000,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-6515033e4717b8,Limerick City,Limerick City and County Council,DS-120-18,"4 Toll Cottages, Verdant Place, Limerick.",Derelict Cottage,,52.6705508,-8.6261735,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,557649,657893,EPSG:2157,,2020-09-29,30000,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-72505b589ce1e1,Limerick City,Limerick City and County Council,DS-119-18,"3 Toll Cottages, Verdant Place, Limerick.",Derelict Cottage,,52.6705058,-8.6261876,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,557648,657888,EPSG:2157,,2020-09-29,30000,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-86bbe817b65db1,Limerick City,Limerick City and County Council,DS-118-18,"2 Toll Cottages, Verdant Place, Limerick.",Derelict Cottage,,52.6704429,-8.6261867,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,557648,657881,EPSG:2157,,2020-09-29,30000,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-69555b77f41dcc,Limerick City,Limerick City and County Council,DS-117-18,"1 Toll Cottages, Verdant Place, Limerick.",Derelict Cottage,,52.670389,-8.6261712,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,557649,657875,EPSG:2157,,2020-09-29,30000,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
