incident_id,date,year,time_band,longitude,latitude,constituency,constituency_slug,electoral_district,electoral_district_guid,incident_type,incident_count,fatality_count,serious_injury_count,non_serious_injury_count,casualty_count,cyclist_count,driver_count,e_scooter_other_count,motorcyclist_count,passenger_count,pedestrian_count
10960,2017-11-01,2017,4pm-7.59pm,-6.249856666,53.351761666,Dublin Central,dublin-central,Mountjoy A,2ae19629-1da7-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
10961,2017-11-01,2017,4pm-7.59pm,-9.65067,52.400401666,Kerry,kerry,Lixnaw,2ae19629-2253-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
10962,2017-11-01,2017,4pm-7.59pm,-6.413663333,53.963556666,Louth,louth,Haggardstown,2ae19629-18f9-13a3-e055-000000000001,Non-serious,1,0,0,2,2,0,0,0,0,2,0
10963,2017-11-01,2017,4pm-7.59pm,-6.225943333,53.368941666,Dublin Bay North,dublin-bay-north,Grace Park,2ae19629-1d71-13a3-e055-000000000001,Non-serious,1,0,0,1,1,1,0,0,0,0,0
10964,2017-11-01,2017,8pm-11.59pm,-8.472051666,54.26874,Sligo-Leitrim,sligo-leitrim,Sligo East,2ae19629-19fc-13a3-e055-000000000001,Non-serious,1,0,0,1,1,1,0,0,0,0,0
10965,2017-11-01,2017,4pm-7.59pm,-6.903365,52.385025,Wexford,wexford,New Ross Rural,2ae19629-1ea2-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
10966,2017-11-01,2017,12pm-3.59pm,-6.29021,53.435425,Dublin Fingal West,dublin-fingal-west,Dubber,2ae19629-1d39-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,0,0,1
10967,2017-11-01,2017,8pm-11.59pm,-7.107496666,52.24258,Waterford,waterford,Grange South,2ae19629-1ba3-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,0,0,1
10968,2017-11-01,2017,8pm-11.59pm,-6.259803333,53.357558333,Dublin Central,dublin-central,Mountjoy B,2ae19629-1da8-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,0,0,1
10969,2017-11-01,2017,4am-7.59am,-8.614333333,52.677383333,Limerick City,limerick-city,Abbey A,2ae19629-17cc-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,1,0,0
10970,2017-11-01,2017,12pm-3.59pm,-8.500891666,51.885366666,Cork South-Central,cork-south-central,Glasheen C,2ae19629-217d-13a3-e055-000000000001,Non-serious,1,0,0,1,1,1,0,0,0,0,0
10971,2017-11-01,2017,8am-11.59am,-8.469978333,51.90021,Cork South-Central,cork-south-central,Centre A,2ae19629-2160-13a3-e055-000000000001,Serious,1,0,1,0,1,0,0,0,0,0,1
10972,2017-11-01,2017,4am-7.59am,-6.518161666,52.384128333,Wexford,wexford,Kilpatrick,2ae19629-1e7e-13a3-e055-000000000001,Non-serious,1,0,0,4,4,0,2,0,0,2,0
10973,2017-11-01,2017,8am-11.59am,-6.329196666,53.313505,Dublin South-West,dublin-south-west,Terenure-Cherryfield,2ae19629-1cd7-13a3-e055-000000000001,Non-serious,1,0,0,1,1,1,0,0,0,0,0
10974,2017-11-01,2017,8am-11.59am,-6.28128,53.360966666,Dublin Central,dublin-central,Cabra East C,2ae19629-1d2a-13a3-e055-000000000001,Non-serious,1,0,0,1,1,1,0,0,0,0,0
10975,2017-11-01,2017,12pm-3.59pm,-7.2361,52.654993333,Carlow-Kilkenny,carlow-kilkenny,Kilkenny No. 2 Urban,2ae19629-240d-13a3-e055-000000000001,Serious,1,0,1,0,1,1,0,0,0,0,0
10976,2017-11-01,2017,4pm-7.59pm,-8.352575,53.737838333,Roscommon-Galway,roscommon-galway,Castleteheen,2ae19629-1a48-13a3-e055-000000000001,Fatal,1,1,0,0,1,0,1,0,0,0,0
10977,2017-11-01,2017,12pm-3.59pm,-6.285361666,53.284,Dublin South-West,dublin-south-west,Rathfarnham-St. Enda'S,2ae19629-1e03-13a3-e055-000000000001,Fatal,1,1,0,0,1,1,0,0,0,0,0
10978,2017-11-01,2017,12pm-3.59pm,-8.219403333,55.12882,Donegal,donegal,Gortahork,2ae19629-2085-13a3-e055-000000000001,Non-serious,1,0,0,2,2,0,2,0,0,0,0
10979,2017-11-01,2017,4am-7.59am,-6.364608333,53.285773333,Dublin South-West,dublin-south-west,Tallaght-Kingswood,2ae19629-1ccc-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,1,0,0
10980,2017-11-01,2017,4pm-7.59pm,-6.755073333,53.288153333,Kildare North,kildare-north,Downings,2ae19629-22b0-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
10981,2017-11-01,2017,4pm-7.59pm,-6.177143333,52.778355,Wicklow-Wexford,wicklow-wexford,Arklow Rural,2ae19629-1e68-13a3-e055-000000000001,Non-serious,1,0,0,2,2,0,0,0,0,2,0
10982,2017-11-01,2017,12pm-3.59pm,-8.471738333,53.441436666,Galway East,galway-east,Castleblakeney,2ae19629-20d7-13a3-e055-000000000001,Serious,1,0,2,4,6,0,2,0,0,4,0
10983,2017-11-01,2017,4pm-7.59pm,-6.408558333,53.401805,Dublin West,dublin-west,Blanchardstown-Blakestown,2ae19629-1cc6-13a3-e055-000000000001,Non-serious,1,0,0,2,2,0,2,0,0,0,0
10984,2017-11-01,2017,4pm-7.59pm,-7.777285,52.316621666,Waterford,waterford,Kilmacomma,2ae19629-1ba0-13a3-e055-000000000001,Serious,1,0,1,0,1,0,1,0,0,0,0
10985,2017-11-01,2017,4pm-7.59pm,-6.306961666,52.850386666,Wicklow-Wexford,wicklow-wexford,Aughrim,2ae19629-1e6a-13a3-e055-000000000001,Serious,1,0,1,4,5,0,2,0,0,3,0
10986,2017-11-01,2017,8pm-11.59pm,-8.476973333,51.898056666,Cork South-Central,cork-south-central,Centre B,2ae19629-2161-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,0,0,1
10987,2017-11-01,2017,4pm-7.59pm,-9.03106,53.280895,Galway West,galway-west,Lough Atalia,2ae19629-236f-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
10988,2017-11-01,2017,12am-3.59am,-9.655045,53.289566666,Galway West,galway-west,Lettermore,2ae19629-236d-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
10989,2017-11-01,2017,12am-3.59am,-7.036931666,52.660561666,Carlow-Kilkenny,carlow-kilkenny,Shankill,2ae19629-23ef-13a3-e055-000000000001,Serious,1,0,1,1,2,0,2,0,0,0,0
10990,2017-11-01,2017,4am-7.59am,-7.125053333,53.94135,Cavan-Monaghan,cavan-monaghan,Waterloo,2ae19629-1fb0-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
10991,2017-11-01,2017,12pm-3.59pm,-7.340545,53.54146,Longford-Westmeath,longford-westmeath,Mullingar Rural,2ae19629-1b37-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,1,0,0
10992,2017-11-01,2017,12pm-3.59pm,-9.176633333,53.89372,Mayo,mayo,Bellavary,2ae19629-190a-13a3-e055-000000000001,Non-serious,1,0,0,2,2,0,2,0,0,0,0
10993,2017-11-01,2017,12pm-3.59pm,-8.92786,52.861626666,Clare,clare,Spancelhill,2ae19629-2015-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,1,0,0
10994,2017-11-01,2017,4pm-7.59pm,-6.26182,53.331616666,Dublin Bay South,dublin-bay-south,Saint Kevin'S,2ae19629-1dee-13a3-e055-000000000001,Serious,1,0,1,0,1,1,0,0,0,0,0
